School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Raymore-Peculiar,5.17,8.04,13.21,8,1,1
Liberty North,6.24,6.77,13.01,1,6,2
Ft. Zumwalt West,5.52,6.97,12.48,5,4,3
Blue Springs South,5.5,6.9,12.4,6,5,4
Rock Bridge,5.78,6.52,12.3,2,9,5
Kearney,4.19,7.55,11.74,15,2,6
Helias Catholic,4.69,6.43,11.11,10,11,7
Liberty,5.71,5.08,10.79,3,27,8
Grain Valley,4.38,6.34,10.72,12,14,9
Eureka,3.92,6.7,10.63,18,7,10
Francis Howell Central,4.11,6.5,10.61,16,10,11
Kickapoo,5.53,4.88,10.4,4,30,12
Lee's Summit,4.25,5.92,10.18,14,17,13
Lee's Summit West,4.75,5.4,10.16,9,22,14
Centralia,3.53,6.61,10.13,22,8,15
Troy Buchanan,3.12,6.37,9.49,29,12,16
Parkway West,3.84,5.59,9.43,19,21,17
Lafayette (Wildwood),5.22,4.12,9.34,7,39,18
Mid-Buchanan,3.47,5.82,9.29,23,19,19
Father Tolton,2.77,6.35,9.12,36,13,20
Park Hill,2.11,7.0,9.11,59,3,21
Francis Howell,4.29,4.75,9.04,13,33,22
Staley,3.72,5.32,9.04,20,23,23
Francis Howell North,2.61,6.28,8.9,38,15,24
Lindbergh,2.58,5.91,8.49,39,18,25
Blue Springs,4.1,4.29,8.38,17,37,26
Belton,3.4,4.54,7.94,26,34,27
Winfield,1.96,5.94,7.91,64,16,28
Westminster Christian Academy,2.82,5.05,7.87,33,28,29
Elsberry,2.05,5.82,7.87,60,20,30
Chaffee,3.23,4.39,7.63,27,35,31
Liberty (Wentzville),3.7,3.84,7.54,21,41,32
Chillicothe,2.11,5.26,7.37,58,24,33
St. Dominic,2.51,4.85,7.36,45,32,34
Hickman,4.4,2.91,7.32,11,69,35
Platte County,2.21,4.86,7.06,52,31,36
Marquette,3.42,3.63,7.05,25,44,37
Jackson,2.01,4.9,6.92,62,29,38
Linn,1.62,5.21,6.83,73,25,39
Highland,3.46,3.1,6.56,24,60,40
Timberland,2.13,4.36,6.49,55,36,41
Marshfield,2.56,3.81,6.37,42,42,42
Southern Boone,2.99,3.2,6.2,31,59,43
St. Elizabeth,2.69,3.37,6.07,37,53,44
Cor Jesu Academy,3.14,2.92,6.06,28,68,45
Oak Grove,2.46,3.51,5.96,47,46,46
Rockwood Summit,3.06,2.82,5.88,30,70,47
Holden,2.41,3.46,5.87,49,49,48
Willard,2.29,3.54,5.83,50,45,49
Notre Dame (Cape Girardeau),1.54,4.14,5.68,78,38,50
Festus,2.15,3.4,5.55,54,51,51
Jefferson City,0.17,5.14,5.3,118,26,52
Washington,2.86,2.43,5.29,32,81,53
Hillsboro,1.77,3.47,5.24,68,48,54
Macon,2.44,2.71,5.15,48,74,55
Lawson,2.81,2.31,5.12,34,85,56
