School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Centralia,3.53,6.61,10.13,1,1,1
Winfield,1.96,5.94,7.91,10,2,2
Chillicothe,2.11,5.26,7.37,8,3,3
Southern Boone,2.99,3.2,6.2,2,8,4
Oak Grove,2.46,3.51,5.96,4,4,5
Macon,2.44,2.71,5.15,5,11,6
Odessa,2.5,2.41,4.92,3,14,7
Pleasant Hill,2.22,2.63,4.85,6,12,8
Savannah,1.03,3.45,4.48,16,5,9
Mexico,1.86,2.56,4.42,11,13,10
Doniphan,1.03,3.25,4.28,17,7,11
Kirksville,1.06,3.01,4.08,15,9,12
Hallsville,1.58,2.02,3.6,13,17,13
Excelsior Springs,1.51,1.45,2.96,14,19,14
Blair Oaks,1.98,0.93,2.91,9,21,15
Summit Christian Academy,-0.75,3.33,2.58,27,6,16
Bowling Green,1.68,0.75,2.43,12,23,17
Cassville,-0.26,2.19,1.92,23,16,18
Eldon,-0.98,2.79,1.81,28,10,19
Logan-Rogersville,-0.5,2.21,1.72,24,15,20
Benton,0.88,0.76,1.63,18,22,21
Fredericktown,2.18,-0.6,1.58,7,29,22
Moberly,0.47,0.55,1.01,19,24,23
California,-1.45,1.72,0.27,32,18,24
Orchard Farm,-0.05,0.3,0.25,22,25,25
North County,0.17,-0.42,-0.25,20,28,26
Wright City,-0.53,-0.79,-1.32,25,31,27
Cameron,-0.68,-0.7,-1.38,26,30,28
Osage,-2.56,0.23,-2.33,35,26,29
Seneca,-3.8,1.27,-2.53,40,20,30
Monett,-2.38,-0.19,-2.56,34,27,31
Boonville,-1.37,-1.4,-2.77,30,33,32
Owensville,-1.38,-2.06,-3.44,31,35,33
Fulton,0.08,-3.67,-3.6,21,39,34
St. Michael the Archangel,-2.75,-0.99,-3.73,37,32,35
Harrisonville,-2.37,-2.14,-4.52,33,36,36
Clinton,-2.72,-2.04,-4.76,36,34,37
Aurora,-3.04,-2.52,-5.56,39,37,38
St. Pius X (Kansas City),-2.84,-3.01,-5.85,38,38,39
St. Clair,-3.9,-5.48,-9.37,41,41,40
Richmond,-5.52,-5.27,-10.79,44,40,41
Maryville,-4.01,-7.42,-11.43,42,43,42
Perryville,-4.93,-7.09,-12.02,43,42,43
St. James,-1.11,-13.47,-14.59,29,49,44
Nevada,-5.74,-10.36,-16.1,46,46,45
Maplewood-Richmond Hts.,-7.49,-9.39,-16.88,49,44,46
Notre Dame de Sion,-5.6,-11.44,-17.04,45,47,47
Knob Noster,-6.77,-10.31,-17.08,48,45,48
Affton,-8.11,-12.38,-20.49,50,48,49
Cuba,-6.53,-15.92,-22.45,47,50,50
STEAM Academy,-8.5,-18.73,-27.23,51,51,51
Normandy Collaborative,-21.47,-21.26,-42.73,52,52,52
