Date,Home Team,Home Score,Away Team,Away Score
2025-08-28,Savannah,10,Boonville,1
2025-08-28,Osage,2,Eugene,5
2025-08-28,Francis Howell North,3,Eureka,0
2025-08-28,Fox,7,Farmington,1
2025-08-28,Branson,10,Glendale,5
2025-08-28,Moberly,1,Hallsville,12
2025-08-28,Ladue Horton Watkins,0,Hazelwood West,10
2025-08-28,East Carter,2,Kelly,6
2025-08-28,Clark County,17,La Plata,11
2025-08-28,Maysville,4,Lafayette County,5
2025-08-28,Parkway North,0,Lindbergh,14
2025-08-28,New Franklin,2,Marceline,9
2025-08-28,Parkway West,2,Marquette,4
2025-08-28,Halfway,4,Marshfield,14
2025-08-28,North Andrew,14,Maryville,1
2025-08-28,Webb City,10,McDonald County,6
2025-08-28,Ursuline Academy,1,Oakville,5
2025-08-28,Putnam County,0,Princeton,6
2025-08-28,Lathrop,1,Savannah,5
2025-08-28,Jamestown,9,Worth County,5
2025-08-28,Worth County,10,Trenton,4
2025-08-28,Francis Howell Central,12,Washington,4
2025-08-29,Hillcrest,12,Aurora,9
2025-08-29,Seneca,4,Aurora,3
2025-08-29,Liberty,11,Belton,10
2025-08-29,Centralia,6,Belton,4
2025-08-29,Liberty (Wentzville),7,Blair Oaks,1
2025-08-29,Pacific,7,Blair Oaks,13
2025-08-29,Waynesville,0,Bolivar,12
2025-08-29,Timberland,2,Bowling Green,7
2025-08-29,Lafayette (Wildwood),14,Bowling Green,8
2025-08-29,Lebanon,6,Camdenton,13
2025-08-29,Willard,7,Camdenton,0
2025-08-29,Fort Osage,12,Cameron,5
2025-08-29,Hillcrest,7,Carl Junction,8
2025-08-29,Joplin,10,Carl Junction,0
2025-08-29,Sherwood,1,Carthage,13
2025-08-29,Summit Christian Academy,0,Carthage,8
2025-08-29,Hartville,1,Cassville,9
2025-08-29,Bolivar,6,Cassville,4
2025-08-29,Naylor,7,Central (Cape Girardeau),6
2025-08-29,Liberty,0,Centralia,3
2025-08-29,Notre Dame (Cape Girardeau),2,Chaffee,5
2025-08-29,Oak Park,1,Chillicothe,9
2025-08-29,Smithville,0,Chillicothe,3
2025-08-29,Marion County,1,Clopton,4
2025-08-29,Wellsville-Middletown,0,Community,17
2025-08-29,Westran,27,Cuba,2
2025-08-29,Central (Cape Girardeau),0,Doniphan,15
2025-08-29,Cor Jesu Academy,0,Doniphan,2
2025-08-29,St. Clair,5,East Carter,1
2025-08-29,St. Joseph's Academy,2,Elsberry,4
2025-08-29,Festus,3,Elsberry,1
2025-08-29,DeSoto,14,Farmington,2
2025-08-29,Pacific,5,Fatima,8
2025-08-29,Jefferson City,1,Festus,2
2025-08-29,Winfield,2,Francis Howell Central,10
2025-08-29,St. Dominic,8,Francis Howell Central,2
2025-08-29,Parkway South,9,Fredericktown,5
2025-08-29,Van Buren,1,Fredericktown,17
2025-08-29,Parkway West,10,Ft. Zumwalt East,0
2025-08-29,Macon,0,Ft. Zumwalt West,14
2025-08-29,Summit Christian Academy,8,Glendale,4
2025-08-29,Sherwood,4,Glendale,9
2025-08-29,Kearney,2,Grain Valley,1
2025-08-29,Walnut Grove,1,Halfway,13
2025-08-29,Ozark,0,Helias Catholic,10
2025-08-29,Humansville,6,Hermitage,12
2025-08-29,Highland,10,Hickman,9
2025-08-29,Troy Buchanan,9,Hickman,4
2025-08-29,Troy Buchanan,7,Highland,3
2025-08-29,Grain Valley,17,Holden,4
2025-08-29,Kearney,12,Holden,2
2025-08-29,California,3,Iberia,0
2025-08-29,Parkway South,4,Jackson,3
